index	id	firstname	surname	born	died	bornCountry	diedCountry	gender	year	category
300	123	William Alfred	Fowler	8/9/1911	3/14/1995	USA	USA	male	1983.0	physics
301	99	Brian David	Josephson	1/4/1940	0000-00-00	United Kingdom		male	1973.0	physics
302	122	Subramanyan	Chandrasekhar	10/19/1910	8/21/1995	India (now Pakistan)	USA	male	1983.0	physics
303	121	Kenneth G.	Wilson	6/8/1936	6/15/2013	USA	USA	male	1982.0	physics
304	586	Karl Adolph	Gjellerup	06/02/1857	10/11/2019	Denmark	Germany	male	1917.0	literature
305	603	Sinclair	Lewis	02/07/1885	1/10/1951	USA	Italy	male	1930.0	literature
306	626	Halldr Kiljan	Laxness	4/23/1902	2/8/1998	Iceland	Iceland	male	1955.0	literature
307	641	Miguel Angel	Asturias	10/19/1899	6/9/1974	Guatemala	Spain	male	1967.0	literature
308	725	Kim	Dae-jung	12/3/1925	8/18/2009	Korea (now South Korea)		male	2000.0	peace
309	549	Oscar	Arias Snchez	9/13/1941	0000-00-00	Costa Rica		male	1987.0	peace
310	218	Vincent	du Vigneaud	5/18/1901	12/11/1978	USA	USA	male	1955.0	chemistry
311	198	Richard	Kuhn	12/3/1900	7/31/1967	Austria-Hungary (now Austria)	West Germany (now Germany)	male	1938.0	chemistry
312	198	Richard	Kuhn	12/3/1900	7/31/1967	Austria-Hungary (now Austria)	West Germany (now Germany)	male	1938.0	chemistry
313	9	Philipp Eduard Anton	von Lenard	06/07/1862	5/20/1947	Hungary (now Slovakia)	Germany	male	1905.0	physics
314	743	K. Barry	Sharpless	4/28/1941	0000-00-00	USA		male	2001.0	chemistry
315	183	The (Theodor)	Svedberg	08/30/1884	2/25/1971	Sweden	Sweden	male	1926.0	chemistry
316	294	Ronald	Ross	05/13/1857	9/16/1932	India	United Kingdom	male	1902.0	medicine
317	221	Lord (Alexander R.)	Todd	10/2/1907	1/10/1997	Scotland	United Kingdom	male	1957.0	chemistry
318	200	Leopold	Ruzicka	09/13/1887	9/26/1976	Austria-Hungary (now Croatia)	Switzerland	male	1939.0	chemistry
319	241	Christian B.	Anfinsen	3/26/1916	5/14/1995	USA	USA	male	1972.0	chemistry
320	293	Emil Adolf	von Behring	03/15/1854	3/31/2017	Prussia (now Poland)	Germany	male	1901.0	medicine
321	199	Adolf Friedrich Johann	Butenandt	3/24/1903	1/18/1995	Germany	Germany	male	1939.0	chemistry
322	199	Adolf Friedrich Johann	Butenandt	3/24/1903	1/18/1995	Germany	Germany	male	1939.0	chemistry
323	305	Allvar	Gullstrand	06/05/1862	7/28/1930	Sweden	Sweden	male	1911.0	medicine
324	32	Jean Baptiste	Perrin	09/30/1870	4/17/1942	France	USA	male	1926.0	physics
325	28	Robert Andrews	Millikan	03/22/1868	12/19/1953	USA	USA	male	1923.0	physics
